# event_id  Enu_MeV  Te+_MeV
788 5.69751 3.8668
789 4.38209 2.57498
790 3.07927 1.26985
791 3.38002 1.56487
792 5.23813 3.42618
793 2.49493 0.684615
794 5.18344 3.36721
795 2.69377 0.888342
796 6.92954 5.09377
797 6.72352 4.87796
798 3.21145 1.39711
799 4.29086 2.46084
800 5.15465 3.31774
801 4.34443 2.53277
802 3.01168 1.2046
803 6.00199 4.17077
804 4.269 2.45675
805 5.78594 3.93208
806 4.64296 2.83498
807 5.66724 3.85698
808 5.57832 3.72285
809 4.76188 2.93784
810 7.16286 5.27422
811 2.61586 0.809983
812 6.37809 4.52544
813 3.58913 1.769
814 5.58905 3.74543
815 3.72104 1.91161
816 6.0942 4.25379
817 4.25997 2.43666
818 2.98806 1.1827
819 4.55365 2.73214
820 5.29463 3.46104
821 6.106 4.26381
822 5.33931 3.51613
823 3.37345 1.56488
824 3.13164 1.32295
825 4.19717 2.38248
826 2.71523 0.904613
827 4.36875 2.54897
828 4.30821 2.48097
829 5.47191 3.66135
830 3.53686 1.72631
831 4.45361 2.62231
832 2.79384 0.98292
833 6.52926 4.66816
834 2.70512 0.893918
835 3.66638 1.84691
836 2.55705 0.747219
837 4.49855 2.68563
838 3.06567 1.25242
839 3.49188 1.67634
840 5.52336 3.69524
841 3.19077 1.37399
842 2.42354 0.615475
843 2.13933 0.330785
844 3.9526 2.13202
845 3.6808 1.87152
846 3.95127 2.13603
847 5.17148 3.33307
848 2.77167 0.960399
849 5.66912 3.81175
850 5.50384 3.69007
851 5.2461 3.4058
852 4.23189 2.41668
853 4.13196 2.32201
854 4.0943 2.28202
855 5.39202 3.55473
856 6.90483 5.06878
857 4.09287 2.2833
858 2.13787 0.331878
859 5.06752 3.22991
860 2.04644 0.238786
861 3.83694 2.01606
862 4.14787 2.32615
863 4.91605 3.0739
864 3.4058 1.59753
865 4.26794 2.45744
866 4.89554 3.08607
867 6.69946 4.83246
868 3.54243 1.73588
869 4.10923 2.2885
870 4.00051 2.18433
871 4.17796 2.37136
872 4.60326 2.79514
873 6.43734 4.57468
874 2.56431 0.755765
875 2.41756 0.608948
876 4.11231 2.2856
877 1.96076 0.153477
878 4.29319 2.47447
879 2.56369 0.754346
880 5.48504 3.67008
881 3.44962 1.63032
882 2.82096 1.00825
883 5.46984 3.62912
884 4.44818 2.61546
885 3.89383 2.08248
886 6.19577 4.3279
887 2.79216 0.980333
888 5.2289 3.38513
889 4.30872 2.50148
890 3.3681 1.56141
891 4.80908 3.0017
892 3.4406 1.62235
893 4.04937 2.22644
894 5.56806 3.75978
895 3.0203 1.20455
896 3.20461 1.39046
897 5.15165 3.34148
898 4.84179 3.00807
899 4.16834 2.35464
900 4.62087 2.78691
901 5.65814 3.84043
902 4.14314 2.32038
903 3.94743 2.12982
904 5.50312 3.67656
905 4.40915 2.59209
906 2.96885 1.15679
907 3.89266 2.0726
908 5.57353 3.73562
909 5.6217 3.76915
910 2.9326 1.12393
911 5.6354 3.82722
912 3.63472 1.81684
913 4.03517 2.22077
914 5.6243 3.80518
915 2.29708 0.488544
916 6.43342 4.57942
917 3.19164 1.38242
918 6.67384 4.80247
919 3.74256 1.92892
920 3.25124 1.43553
921 2.46494 0.656769
922 4.44712 2.63987
923 4.61701 2.79653
924 3.43234 1.62438
925 6.23762 4.41422
926 5.20977 3.36267
927 4.85181 3.04285
928 2.07552 0.268373
929 2.89379 1.08488
930 3.85422 2.03862
931 6.15007 4.33761
932 4.65142 2.81384
933 3.34684 1.52882
934 5.48627 3.63741
935 3.57072 1.75189
936 4.02258 2.20686
937 5.5592 3.75074
938 3.86535 2.0418
939 3.41508 1.6016
940 2.39074 0.583083
941 4.62117 2.78862
942 2.94118 1.13042
943 4.95764 3.13212
944 4.23116 2.42328
945 2.89911 1.08482
946 4.84696 3.01204
947 5.23289 3.39356
948 6.55873 4.69573
949 3.2501 1.43949
950 3.66751 1.84742
951 3.31824 1.50776
952 4.80922 2.98224
953 2.86274 1.04958
954 2.28002 0.473992
955 3.94825 2.14092
956 3.09561 1.287
957 2.69375 0.885876
958 2.93216 1.11754
959 4.79123 2.98565
960 2.36353 0.554919
961 4.5265 2.69286
962 5.30577 3.49243
963 3.51685 1.70109
964 2.86155 1.04789
965 4.95608 3.13895
966 4.09298 2.28159
967 2.46449 0.654552
968 4.06875 2.24728
969 4.32741 2.49825
970 1.96792 0.160978
971 2.91302 1.10443
972 5.36946 3.5513
973 5.7411 3.88951
974 2.66591 0.857325
975 6.7958 4.92994
976 2.7378 0.927164
977 2.31646 0.510837
978 3.26511 1.45205
979 3.30342 1.49558
980 4.82396 2.98652
981 2.39538 0.587135
982 4.92824 3.0865
983 4.19148 2.36584
984 4.47067 2.65593
985 5.51822 3.70019
986 2.93111 1.12335
987 2.99049 1.1749
988 5.1526 3.31121
989 2.82132 1.01132
990 6.81533 4.98845
991 5.24995 3.43927
992 5.42659 3.59876
993 4.23468 2.40811
994 4.13526 2.31576
995 5.79612 3.97175
996 7.45711 5.59443
997 3.21597 1.40038
998 7.50884 5.68345
999 3.0167 1.21119
1000 5.74206 3.9291
1001 2.95869 1.14401
1002 3.97402 2.15478
1003 5.16469 3.33272
1004 2.47187 0.661047
1005 3.58189 1.76169
1006 2.91115 1.10044
1007 3.3625 1.54953
1008 6.59684 4.74638
1009 3.48029 1.66498
1010 2.63239 0.820642
1011 3.52518 1.71268
1012 3.01717 1.20976
1013 5.39157 3.56206
1014 2.24361 0.434338
1015 3.61375 1.79464
1016 2.59481 0.783335
1017 5.80388 3.99421
1018 3.48408 1.67853
1019 3.61988 1.80693
1020 2.62348 0.815102
1021 4.62394 2.7972
1022 5.32361 3.5014
1023 2.63829 0.830082
1024 4.12137 2.30982
1025 7.25854 5.39535
1026 2.67413 0.863811
1027 2.85647 1.04639
1028 3.44896 1.63698
1029 4.78855 2.96558
1030 5.27838 3.43381
1031 3.89448 2.07391
1032 2.19903 0.392092
1033 3.97506 2.16361
1034 3.39779 1.5846
1035 3.01635 1.2076
1036 5.64759 3.83223
1037 2.11679 0.309448
1038 2.5799 0.76897
1039 2.41429 0.60721
1040 3.94907 2.12411
1041 3.45821 1.63836
1042 3.74258 1.92949
