# event_id Enu_MeV Ee_MeV Te_MeV cosThetaE thetaE_deg eDirX eDirY eDirZ Tn_keV cosThetaN thetaN_deg nDirX nDirY nDirZ
110 4.488155 3.1800043 2.6690054 0.08090409 85.359465 0.038248238 -0.99598775 -0.08090409 14.803704 0.80428987 36.45827 -0.022803276 0.59379947 -0.80428987
111 2.2990524 1.0043676 0.4933687 0.8847198 27.78294 -0.35325798 -0.3041047 -0.8847198 1.3378074 0.96717775 14.720308 0.1925738 0.16577856 -0.96717775
112 5.4907515 4.1890993 3.6781004 0.69746539 45.775996 -0.13708878 -0.70338375 -0.69746539 8.3051537 0.6561629 48.992114 0.14435832 0.74068274 -0.6561629
113 4.0752288 2.7799262 2.2689273 0.91588128 23.668808 0.39528994 -0.070052441 -0.91588128 1.955574 0.8201591 34.899277 -0.56335746 0.099837009 -0.8201591
114 4.1918741 2.8876126 2.3766137 0.21808514 77.403411 -0.97146304 -0.093265357 -0.21808514 10.914455 0.78984962 37.82854 0.61049357 0.058610465 -0.78984962
115 4.316864 3.0062376 2.4952387 -0.19169263 101.05158 0.94958426 -0.24807996 0.19169263 17.279373 0.85929597 30.762374 -0.49486946 0.1292852 -0.85929597
116 6.8946904 5.5644872 5.0534883 0.12273956 82.949763 -0.89119062 -0.43670846 -0.12273956 36.856189 0.74890365 41.504502 0.59507262 0.29160231 -0.74890365
117 2.3668246 1.0718779 0.56087895 0.78076536 38.669295 -0.23710782 0.57808765 -0.78076536 1.5997125 0.94060931 19.845865 0.12882975 -0.31409715 -0.94060931
118 6.6411756 5.3224333 4.8114343 0.35010954 69.505985 -0.13994416 0.92619595 -0.35010954 25.395312 0.69421399 46.035385 0.10753334 -0.71169061 -0.69421399
119 4.2211843 2.901585 2.3905861 -0.95191208 162.15931 0.09155583 0.29237121 0.95191208 26.252339 0.99214429 7.1864601 -0.037384446 -0.11938219 -0.99214429
120 2.3999844 1.1009859 0.58998701 -0.82542996 145.63211 -0.38504775 0.41279973 0.82542996 5.6514818 0.9855662 9.7465685 0.11547279 -0.1237954 -0.9855662
121 4.0024913 2.6867203 2.1757214 -0.89261327 153.20349 0.36317938 -0.26709977 0.89261327 22.423989 0.9829504 10.595312 -0.14812488 0.10893823 -0.9829504
122 3.5469718 2.2368311 1.7258322 -0.90793063 155.22093 0.39263022 -0.14664069 0.90793063 16.79369 0.98662412 9.3817541 -0.15270871 0.057034099 -0.98662412
